Booking_ID,Ticket_Price,Distance_km,Flight_Duration_hr,Passenger_Age,Airline,Travel_Class,Departure_City,Payment_Method
FB1000,1997.79,6992.4,18.15,71,S Airlines,Business,Frankfurt,Net Banking
FB1001,4763.43,9723.6,17.34,37,E Airlines,Premium Economy,Dubai,UPI
FB1002,3713.57,9193.9,2.85,56,B Airways,First,Delhi,Net Banking
FB1003,3073.56,2100.6,23.1,20,S Airlines,Premium Economy,Singapore,Credit Card
FB1004,948.89,2046.2,14.43,22,Q Airways,Business,London,PayPal
FB1005,948.77,3437.6,9.41,18,S Airlines,Premium Economy,Mumbai,Net Banking
FB1006,478.8,4524.6,19.04,32,Airways,Economy,Paris,UPI
FB1007,4357.65,5078.9,6.81,43,Airways,Premium Economy,New York,Cash
FB1008,3085.35,8252.5,17.49,20,B Airways,First,Singapore,PayPal
FB1009,3598.75,963.2,1.47,57,E Airlines,Economy,Paris,Credit Card
FB1010,298.81,705.7,21.07,74,Q Airways,Business,Singapore,Debit Card
FB1011,4855.57,4885.4,11.48,58,B Airways,Premium Economy,Mumbai,Credit Card
FB1012,4195.72,8456.8,16.1,64,Q Airways,First,London,Credit Card
FB1013,1219.23,2563.2,5.92,59,Airways,First,Mumbai,Debit Card
FB1014,1072.76,7805.6,17.09,51,E Airlines,Business,London,Net Banking
FB1015,1080.34,3340.0,19.42,69,E Airlines,Premium Economy,Paris,Credit Card
FB1016,1660.36,10667.2,12.09,22,Airways,First,Delhi,PayPal
FB1017,2718.83,10779.6,15.63,48,S Airlines,Economy,London,Credit Card
FB1018,2273.34,3778.3,11.68,68,E Airlines,Premium Economy,New York,Cash
FB1019,1597.9,2990.9,22.41,30,S Airlines,Business,Singapore,PayPal
FB1020,3136.89,5112.3,12.7,60,Q Airways,Economy,Delhi,Cash
FB1021,869.57,3114.2,21.12,18,E Airlines,Premium Economy,Paris,PayPal
FB1022,1602.29,8166.9,20.13,39,Airways,First,Dubai,UPI
FB1023,1958.54,9965.0,10.56,79,S Airlines,Business,Delhi,Debit Card
FB1024,2389.14,8175.2,6.14,32,Q Airways,Business,London,PayPal
FB1025,3968.84,9944.9,10.45,43,Q Airways,Premium Economy,New York,PayPal
FB1026,1158.43,4944.8,20.74,35,E Airlines,Business,Delhi,Net Banking
FB1027,2668.33,2128.9,6.08,65,E Airlines,Economy,New York,Net Banking
FB1028,3043.59,8934.0,13.35,26,B Airways,Premium Economy,New York,UPI
FB1029,422.96,4517.6,20.25,18,B Airways,Economy,Paris,Net Banking
FB1030,3116.22,8153.9,9.16,60,E Airlines,Business,Delhi,Net Banking
FB1031,1018.52,3466.5,16.23,26,B Airways,Business,Paris,Cash
FB1032,512.25,1250.4,6.52,40,Airways,Business,Dubai,Net Banking
FB1033,4754.65,11913.2,3.18,60,Airways,Economy,London,Net Banking
FB1034,4835.03,2127.6,19.96,62,B Airways,Business,Frankfurt,UPI
FB1035,4080.31,11864.5,2.92,75,E Airlines,Premium Economy,Singapore,UPI
FB1036,1662.15,11734.2,7.15,19,Airways,First,Delhi,Credit Card
FB1037,668.83,9587.7,21.45,31,Q Airways,Premium Economy,Frankfurt,Net Banking
FB1038,3484.32,8015.2,8.99,55,E Airlines,First,Mumbai,Net Banking
FB1039,2312.73,7060.3,24.34,57,S Airlines,Business,Singapore,PayPal
FB1040,785.78,10433.4,24.5,35,S Airlines,Premium Economy,Delhi,Net Banking
FB1041,2576.85,3686.4,7.07,33,E Airlines,Economy,Singapore,Cash
FB1042,365.06,5771.9,1.5,70,B Airways,First,Frankfurt,PayPal
FB1043,4564.74,7546.9,17.77,46,Airways,Economy,Mumbai,Net Banking
FB1044,1442.14,5110.9,11.55,61,Airways,First,Singapore,Cash
FB1045,3380.11,5301.6,2.97,28,E Airlines,Business,Frankfurt,Credit Card
FB1046,1696.21,4164.3,17.83,23,Q Airways,Premium Economy,Singapore,PayPal
FB1047,2696.33,6901.5,1.26,20,B Airways,First,Mumbai,Debit Card
FB1048,2824.21,10251.7,21.82,31,Q Airways,Premium Economy,New York,Net Banking
FB1049,1087.3,2657.9,3.9,77,E Airlines,First,Mumbai,PayPal
FB1050,4854.01,11232.9,3.62,19,E Airlines,First,Mumbai,UPI
FB1051,3920.64,8362.3,4.8,49,Q Airways,Business,New York,PayPal
FB1052,4709.59,9932.3,24.03,48,S Airlines,First,New York,UPI
FB1053,4495.17,6807.4,17.48,28,E Airlines,Economy,Dubai,Net Banking
FB1054,3069.92,9420.3,20.13,39,B Airways,First,Paris,Cash
FB1055,4625.0,489.5,10.24,20,Q Airways,First,Paris,UPI
FB1056,624.76,9875.1,8.74,67,S Airlines,First,Frankfurt,PayPal
FB1057,1140.72,769.6,6.24,48,Q Airways,Business,Mumbai,PayPal
FB1058,417.09,10712.0,12.28,50,S Airlines,Premium Economy,Frankfurt,UPI
FB1059,1761.59,11906.0,14.02,79,S Airlines,Premium Economy,Paris,Credit Card
FB1060,2065.65,3740.6,15.98,41,B Airways,Business,Singapore,Credit Card
FB1061,1502.48,2760.7,6.8,18,E Airlines,Economy,Mumbai,Credit Card
FB1062,4177.94,9254.8,23.74,61,S Airlines,Economy,New York,UPI
FB1063,1912.42,3260.4,4.66,32,E Airlines,Business,Delhi,UPI
FB1064,1548.49,10427.1,24.16,54,B Airways,Premium Economy,Mumbai,PayPal
FB1065,2804.94,1503.3,0.86,44,E Airlines,Economy,New York,Net Banking
FB1066,876.44,1773.7,12.29,55,Airways,Business,Mumbai,Net Banking
FB1067,4050.55,11756.1,8.67,65,S Airlines,Premium Economy,Paris,Cash
FB1068,557.84,8183.9,11.5,44,B Airways,Economy,Frankfurt,UPI
FB1069,4937.06,10208.6,14.48,61,Q Airways,Economy,London,Net Banking
FB1070,3906.77,4094.7,11.17,29,B Airways,Business,Singapore,Net Banking
FB1071,1153.84,8214.9,10.66,20,S Airlines,Premium Economy,New York,Credit Card
FB1072,226.51,7252.6,18.45,47,B Airways,Economy,New York,Credit Card
FB1073,4114.21,7356.9,17.3,49,Q Airways,Business,New York,Credit Card
FB1074,3592.92,8285.6,20.92,40,Airways,Economy,Paris,Debit Card
FB1075,3699.23,7031.7,6.62,19,S Airlines,Premium Economy,Frankfurt,Net Banking
FB1076,3902.1,5320.0,15.43,24,S Airlines,First,Frankfurt,Credit Card
FB1077,555.41,3528.3,14.84,51,B Airways,Economy,Singapore,Credit Card
FB1078,1920.64,9292.4,9.56,49,E Airlines,Premium Economy,Frankfurt,UPI
FB1079,756.17,2947.4,12.41,70,E Airlines,Economy,New York,PayPal
